,data,ativo,direcao,percentual,alvo
1,01/08/2024,CRV/USDT,LONG,"80,00%",
1,05/08/2024,BOND/USDT,SHORT,"-111,00%",
1,09/08/2024,FLOW/USDT,LONG,"50,00%",
1,09/08/2024,MKR/USDT,SHORT,"74,00%",
1,09/08/2024,GALA/USDT,LONG,"40,00%",
1,13/08/2024,SOL/USDT,SHORT,"33,00%",
1,13/08/2024,INJ/USDT,SHORT,"65,00%",
1,13/08/2024,BCH/USDT,LONG,"-120,00%",
1,16/08/2024,REEF/USDT,LONG,"160,00%",
1,16/08/2024,G/USDT,LONG,"100,00%",
1,17/08/2024,BLUR/USDT,LONG,"-47,00%",
1,17/08/2024,BANANA/USDT,LONG,"-45,00%",
1,17/08/2024,TLM/USDT,LONG,"170,00%",
,17/08/2024,TNSR/USDT,LONG,"72,00%",
1,20/08/2024,RARE/USDT,LONG,"100,00%",
,20/08/2024,SYN/USDT,LONG,"-90,00%",
1,21/08/2024,NMR/USDT,LONG,"98,00%",
1,21/08/2024,SKL/USDT,LONG,"89,00%",
1,21/08/2024,LEVER/USDT,LONG,"160,00%",
,21/08/2024,PHB/USDT,LONG,"50,00%",
1,21/08/2024,NKM/USDT,SHORT,"70,00%",
c,21/08/2024,AEVO/USDT,LONG,66%,
1,22/08/2024,AUCTION/USDT,LONG,"-90,00%",
1,22/08/2024,NOT/USDT,LONG,"40,00%",
1,22/08/2024,IO/USDT,LONG,"39,00%",
,24/08/2024,MAV/USDT,LONG,"49,00%",
1,24/08/2024,ACH/USDT,LONG,"-44,00%",
1,24/08/2024,LQTY/USDT,SHORT,"98,00%",
1,25/08/2024,UNI/USDT,LONG,"-90,00%",
1,25/08/2024,ATA/USDT,LONG,"20,00%",
1,25/08/2024,ALPACA/USDT,LONG,"-44,00%",
1,25/08/2024,CKB/USDT,SHORT,"100,00%",
1,26/08/2024,POPCAT/USDT,LONG,"49,00%",
1,26/08/2024,NULS/USDT,LONG,"30,00%",
1,26/08/2024,RENDER/USDT,LONG,"20,00%",
1,26/08/2024,CRV/USDT,LONG,"25,00%",
1,26/08/2024,SYN/USDT,LONG,"-47,00%",
1,26/08/2024,BEL/USDT,LONG,"90,00%",
1,26/08/2024,XRP/USDT,LONG,"60,00%",
1,27/08/2024,DOGS/USDT,LONG,"99,00%",
1,27/08/2024,ZIL/USDT,LONG,"40,00%",
1,27/08/2024,BAN/USDT,LONG,"20,00%",
1,27/08/2024,TON/USDT,LONG,"80,00%",
1,27/08/2024,VIDT/USDT,LONG,"40,00%",
1,28/08/2024,GMX/USDT,LONG,"40,00%",
1,28/08/2024,RENDER/USDT,LONG,"199,00%",
1,29/08/2024,KEY/USDT,LONG,"19,00%",
1,30/08/2024,POPCAT/USDT,LONG,"40,00%",
1,30/08/2024,DOGS/USDT,LONG,"40,00%",
1,30/08/2024,DODOX/USDT,LONG,"20,00%",
,30/08/2024,NULS/USDT,LONG,"40,00%",
,30/08/2024,SUN/USDT,LONG,78%,
,30/08/2024,RARE/USDT,LONG,"38,00%",
,31/08/2024,REEF/USDT,LONG,"110,00%",
,31/08/2024,BEL/USDT,LONG,"20,00%",
